"Código";"Artículo";"Descripción";"Descripción"
"000009020300TU";"50-2030";"MAIZ";"95"
"000665000bco085";"50-5000";"BLANCO";"85"
"000665000bco090";"50-5000";"BLANCO";"90"
"000665000bco095";"50-5000";"BLANCO";"95"
"000665000bco100";"50-5000";"BLANCO";"100"
"000665000ngro085";"50-5000";"NEGRO";"85"
"000665000ngro090";"50-5000";"NEGRO";"90"
"000665000ngro095";"50-5000";"NEGRO";"95"
"000665000ngro100";"50-5000";"NEGRO";"100"
"000665000noug085";"50-5000";"NOUGAT";"85"
"000665000noug090";"50-5000";"NOUGAT";"90"
"000665000noug095";"50-5000";"NOUGAT";"95"
"000665000noug100";"50-5000";"NOUGAT";"100"
"000665100bco085";"50-5100";"BLANCO";"85"
"000665100bco090";"50-5100";"BLANCO";"90"
"000665100bco095";"50-5100";"BLANCO";"95"
"000665100bco100";"50-5100";"BLANCO";"100"
"000665100ngro085";"50-5100";"NEGRO";"85"
"000665100ngro090";"50-5100";"NEGRO";"90"
"000665100ngro095";"50-5100";"NEGRO";"95"
"000665100ngro100";"50-5100";"NEGRO";"100"
"000665100noug085";"50-5100";"NOUGAT";"85"
"000665100noug090";"50-5100";"NOUGAT";"90"
"000665100noug095";"50-5100";"NOUGAT";"95"
"000665100noug100";"50-5100";"NOUGAT";"100"
"000665200bco085";"50-5200";"BLANCO";"85"
"000665200bco090";"50-5200";"BLANCO";"90"
"000665200bco095";"50-5200";"BLANCO";"95"
"000665200bco100";"50-5200";"BLANCO";"100"
"000665200ngro085";"50-5200";"NEGRO";"85"
"000665200ngro090";"50-5200";"NEGRO";"90"
"000665200ngro095";"50-5200";"NEGRO";"95"
"000665200ngro100";"50-5200";"NEGRO";"100"
"000665200rojo085";"50-5200";"ROJO";"85"
"000665200rojo090";"50-5200";"ROJO";"90"
"000665200rojo095";"50-5200";"ROJO";"95"
"000665200rojo100";"50-5200";"ROJO";"100"
"000665300bco085";"50-5300";"BLANCO";"85"
"000665300bco090";"50-5300";"BLANCO";"90"
"000665300bco095";"50-5300";"BLANCO";"95"
"000665300bco100";"50-5300";"BLANCO";"100"
"000665300ngro085";"50-5300";"NEGRO";"85"
"000665300ngro090";"50-5300";"NEGRO";"90"
"000665300ngro095";"50-5300";"NEGRO";"95"
"000665300ngro100";"50-5300";"NEGRO";"100"
"000665300noug085";"50-5300";"NOUGAT";"85"
"000665300noug090";"50-5300";"NOUGAT";"90"
"000665300noug095";"50-5300";"NOUGAT";"95"
"000665300noug100";"50-5300";"NOUGAT";"100"
"000665400bco085";"50-5400";"BLANCO";"85"
"000665400bco090";"50-5400";"BLANCO";"90"
"000665400bco095";"50-5400";"BLANCO";"95"
"000665400bco100";"50-5400";"BLANCO";"100"
"000665400ngro085";"50-5400";"NEGRO";"85"
"000665400ngro090";"50-5400";"NEGRO";"90"
"000665400ngro095";"50-5400";"NEGRO";"95"
"000665400ngro100";"50-5400";"NEGRO";"100"
"000665400noug085";"50-5400";"NOUGAT";"85"
"000665400noug090";"50-5400";"NOUGAT";"90"
"000665400noug095";"50-5400";"NOUGAT";"95"
"000665400noug100";"50-5400";"NOUGAT";"100"
"001740esmer095";"04-1740";"ESMERALDA";"95"
"001740esmer100";"04-1740";"ESMERALDA";"100"
"0040100105";"18-401";"GRIS";"1"
"0040100205";"18-401";"GRIS";"2"
"0040100305";"18-401";"GRIS";"3"
"00411008515";"29-4110";"AZUL NOCHE/SALMON";"85"
"00470010091";"29-4700";"CELESTE";"100"
"00473009042";"29-4730";"AZUL ZAFIRO";"90"
"00602128mar00l";"20-2128";"MARRON";"L"
"00602128mar00m";"20-2128";"MARRON";"M"
"00602128mar00s";"20-2128";"MARRON";"S"
"00602128mar0xl";"20-2128";"MARRON";"XL"
"00602128marxxl";"20-2128";"MARRON";"XXL"
"00604008541";"29-6040";"FRAMBUEZA/AZUL";"85"
"00665000bco085";"50-5000";"BLANCO";"85"
"00665000bco090";"50-5000";"BLANCO";"90"
"00665000bco095";"50-5000";"BLANCO";"95"
"00665000bco100";"50-5000";"BLANCO";"100"
"00665000ngro085";"50-5000";"NEGRO";"85"
"00665000ngro090";"50-5000";"NEGRO";"90"
"00665000ngro095";"50-5000";"NEGRO";"95"
"00665000ngro100";"50-5000";"NEGRO";"100"
"00665000noug085";"50-5000";"NOUGAT";"85"
"00665000noug090";"50-5000";"NOUGAT";"90"
"00665000noug095";"50-5000";"NOUGAT";"95"
"00665000noug100";"50-5000";"NOUGAT";"100"
"00665100bco085";"50-5100";"BLANCO";"85"
"00665100bco090";"50-5100";"BLANCO";"90"
"00665100bco095";"50-5100";"BLANCO";"95"
"00665100bco100";"50-5100";"BLANCO";"100"
"00665100ngro085";"50-5100";"NEGRO";"85"
"00665100ngro090";"50-5100";"NEGRO";"90"
"00665100ngro095";"50-5100";"NEGRO";"95"
"00665100ngro100";"50-5100";"NEGRO";"100"
"00665100noug085";"50-5100";"NOUGAT";"85"
"00665100noug090";"50-5100";"NOUGAT";"90"
"00665100noug095";"50-5100";"NOUGAT";"95"
"00665100noug100";"50-5100";"NOUGAT";"100"
"00665200bco085";"50-5200";"BLANCO";"85"
"00665200bco090";"50-5200";"BLANCO";"90"
"00665200bco095";"50-5200";"BLANCO";"95"
"00665200bco100";"50-5200";"BLANCO";"100"
"00665200ngro085";"50-5200";"NEGRO";"85"
"00665200ngro090";"50-5200";"NEGRO";"90"
"00665200ngro095";"50-5200";"NEGRO";"95"
"00665200ngro100";"50-5200";"NEGRO";"100"
"00665200rojo085";"50-5200";"ROJO";"85"
"00665200rojo090";"50-5200";"ROJO";"90"
"00665200rojo095";"50-5200";"ROJO";"95"
"00665200rojo100";"50-5200";"ROJO";"100"
"00665300bco085";"50-5300";"BLANCO";"85"
"00665300bco090";"50-5300";"BLANCO";"90"
"00665300bco095";"50-5300";"BLANCO";"95"
"00665300bco100";"50-5300";"BLANCO";"100"
"00665300ngro085";"50-5300";"NEGRO";"85"
"00665300ngro090";"50-5300";"NEGRO";"90"
"00665300ngro095";"50-5300";"NEGRO";"95"
"00665300ngro100";"50-5300";"NEGRO";"100"
"00665300noug085";"50-5300";"NOUGAT";"85"
"00665300noug090";"50-5300";"NOUGAT";"90"
"00665300noug095";"50-5300";"NOUGAT";"95"
"00665300noug100";"50-5300";"NOUGAT";"100"
"00665400bco085";"50-5400";"BLANCO";"85"
"00665400bco090";"50-5400";"BLANCO";"90"
"00665400bco095";"50-5400";"BLANCO";"95"
"00665400bco100";"50-5400";"BLANCO";"100"
"00665400ngro085";"50-5400";"NEGRO";"85"
"00665400ngro090";"50-5400";"NEGRO";"90"
"00665400ngro095";"50-5400";"NEGRO";"95"
"00665400ngro100";"50-5400";"NEGRO";"100"
"00665400noug085";"50-5400";"NOUGAT";"85"
"00665400noug090";"50-5400";"NOUGAT";"90"
"00665400noug095";"50-5400";"NOUGAT";"95"
"00665400noug100";"50-5400";"NOUGAT";"100"
"00805370mar085";"15-5370";"MARRON";"85"
"00805370mar090";"15-5370";"MARRON";"90"
"00805370mar095";"15-5370";"MARRON";"95"
"00805370mar100";"15-5370";"MARRON";"100"
"00B1EXL002";"34-1";"NEGRO";"XL"
