id,marca,nombre,codigo,desc,familia,talles,precio_uno,precio_tres,precio_cantidad
PROMO_MEDIAS_COCOT_DUFOUR_ZAILU_RIO,MEDIAS,PROMO MEDIAS COCOT-DUFOUR-ZAILU-RIO,1-602200P,MEDIAS COCOT-DUFOUR-ZAILU-RIO,MEDIAS,UNICO,2500,5000,5000
PROMO_MEDIAS_COCOT_DUFOUR_ZAILU_RIO,MEDIAS,PROMO MEDIAS COCOT-DUFOUR-ZAILU-RIO,21-2331,MEDIAS COCOT-DUFOUR-ZAILU-RIO,MEDIAS,UNICO,2500,5000,5000
PROMO_MEDIAS_COCOT_DUFOUR_ZAILU_RIO,MEDIAS,PROMO MEDIAS COCOT-DUFOUR-ZAILU-RIO,21-2599,MEDIAS COCOT-DUFOUR-ZAILU-RIO,MEDIAS,UNICO,2500,5000,5000
PROMO_MEDIAS_COCOT_DUFOUR_ZAILU_RIO,MEDIAS,PROMO MEDIAS COCOT-DUFOUR-ZAILU-RIO,40-3153,MEDIAS COCOT-DUFOUR-ZAILU-RIO,MEDIAS,UNICO,2500,5000,5000
PROMO_MEDIAS_COCOT_DUFOUR_ZAILU_RIO,MEDIAS,PROMO MEDIAS COCOT-DUFOUR-ZAILU-RIO,40-3270,MEDIAS COCOT-DUFOUR-ZAILU-RIO,MEDIAS,UNICO,2500,5000,5000
PROMO_MEDIAS_COCOT_DUFOUR_ZAILU_RIO,MEDIAS,PROMO MEDIAS COCOT-DUFOUR-ZAILU-RIO,40-3340,MEDIAS COCOT-DUFOUR-ZAILU-RIO,MEDIAS,UNICO,2500,5000,5000
PROMO_MEDIAS_COCOT_DUFOUR_ZAILU_RIO,MEDIAS,PROMO MEDIAS COCOT-DUFOUR-ZAILU-RIO,40-3343,MEDIAS COCOT-DUFOUR-ZAILU-RIO,MEDIAS,UNICO,2500,5000,5000
PROMO_MEDIAS_COCOT_DUFOUR_ZAILU_RIO,MEDIAS,PROMO MEDIAS COCOT-DUFOUR-ZAILU-RIO,40-3339,MEDIAS COCOT-DUFOUR-ZAILU-RIO,MEDIAS,UNICO,2500,5000,5000
PROMO_MEDIAS_COCOT_DUFOUR_ZAILU_RIO,MEDIAS,PROMO MEDIAS COCOT-DUFOUR-ZAILU-RIO,40-3318,MEDIAS COCOT-DUFOUR-ZAILU-RIO,MEDIAS,UNICO,2500,5000,5000
PROMO_MEDIAS_COCOT_DUFOUR_ZAILU_RIO,MEDIAS,PROMO MEDIAS COCOT-DUFOUR-ZAILU-RIO,40-3261,MEDIAS COCOT-DUFOUR-ZAILU-RIO,MEDIAS,UNICO,2500,5000,5000
